,IP,ASN
1288,1.45.212.0,AS45083
1904,1.119.204.0,AS59034
2160,1.179.212.0,TOT-KTB-AS-AP KrungThai Bank Computer Services Project
5234,5.1.56.0,CZ-SUAS
5246,5.1.78.0,CREOLINE-AS
5285,5.1.119.0,CIPHERSPACE-AS
5323,5.3.13.0,ERTELECOM-CGN-AS
5366,5.3.63.0,REGION-AS
5368,5.3.80.0,TCPORT
5369,5.3.82.0,MEDSOFT-AS
5370,5.3.83.0,IRIDIUM-RUSSIA-AS
5371,5.3.84.0,CREDITURALBANK-AS
5424,5.8.17.0,DIGDES
5453,5.8.58.0,ABSOLUT
5514,5.8.174.0,ASN-MATRIXMOBILE
5515,5.8.176.0,MIGCREDIT
5517,5.8.178.0,KORADO
5518,5.8.179.0,ALKOR-AS
5542,5.8.252.0,AS202025
5622,5.10.231.0,SATGATE-IRAQ
5658,5.11.60.0,GLOBO
5664,5.11.88.0,DATUM
5816,5.22.153.0,ASHCSIBIR
5817,5.22.154.0,ASNEVERNET
5875,5.28.9.0,CIC-IVREA-AS
5967,5.32.160.0,ECLS
5976,5.32.185.0,DE-50HERTZ-AS
6111,5.34.232.0,IPONE
6132,5.35.175.0,MEDIABRIDGE-AS ****************************************************
6166,5.39.160.0,RICENTR-AS CJSC RIcentr
6168,5.39.176.0,METROPOINT Metropoint
6179,5.39.214.0,DIPCAS-AS
6188,5.39.224.0,DSTORAGE
6512,5.42.207.0,MIDYA
6552,5.43.248.0,NORDCMSPA
6589,5.44.79.0,MCCLOUD
6612,5.44.149.0,NOC-AS
6621,5.44.176.0,NYNASAB-AS
6636,5.45.8.0,GRUPOGIMENO-ASN1
6638,5.45.18.0,POBOX2-AS
6643,5.45.48.0,CORPCOMMS
6707,5.45.189.0,ALJADEED
6709,5.45.191.0,COMPUTEL
6871,5.56.47.0,NUMLOG
6886,5.56.160.0,AS_MASBYT
6887,5.56.168.0,HOGARTH-WORLDWIDE
6909,5.57.24.0,COTA-AS
6914,5.57.48.0,SYMBION-AS
6947,5.59.10.0,ITCITY
6948,5.59.11.0,AUCA
6951,5.59.24.0,OOO5COM
6954,5.59.35.0,GCSTART
6959,5.59.48.0,SHAMILOV-AS
6961,5.59.54.0,ASDIPNET
6962,5.59.55.0,ALEXNET-AS
6998,5.61.9.0,ASN-BINSTRAH Moscow
7012,5.61.31.0,NRP-NETWORK
7031,5.61.88.0,HAMINAN-ENERGIA-AS
7039,5.61.118.0,NW-AS
7085,5.61.207.0,REBELOAK
7168,5.63.15.0,KUMS
7173,5.63.23.0,VIA-VOX-AS
7211,5.63.160.0,INTERLOTTO
7218,5.63.183.0,PREGO
7348,5.83.40.0,ADREM-AS
7360,5.83.60.0,SYSOPS-FINLAND
7367,5.83.104.0,SETAAS
7368,5.83.112.0,EMAL-AS
7373,5.83.124.0,ASWIFINETCOM
7375,5.83.136.0,AMJ-
7513,5.100.176.0,IDIUM
7523,5.100.243.0,AS56902
7548,5.101.32.0,VIARTCOM
7665,5.102.49.0,CMS-CZ-AS
7685,5.102.131.0,YMEDIANET BGP AS NUMBER AS201359
7749,5.104.80.0,DESCOM-AS
7765,5.104.156.0,AVIRA-DE-TET Avira Holding GmbH & Co. KG
7767,5.104.159.0,RO-AVIRASOFT
7786,5.104.200.0,ICOTEL
8185,5.129.187.0,PYA
8186,5.129.188.0,EDINOS-AS
8216,5.133.0.0,NOVABANKA-AS
8291,5.134.72.0,TVEUROSAT
8483,5.143.226.0,SPUTNIK
8485,5.143.238.0,RUSACCREDITATION
8502,5.144.126.0,KORYAJMA-MTS-AS
8537,5.145.104.0,SPCSS
8542,5.145.116.0,PEJVAK-ISP Dadepardazan-Shahriar
8544,5.145.118.0,FANNAVARN-ETTELAAT-CHISTA
8545,5.145.119.0,MEGANETWORK-ASN
8549,5.145.145.0,BUSINESSCOM-AS
